model,threshold,accuracy,sensitivity,specificity,precision,f1_score,auc,TP,TN,FP,FN,feature_type
Logistic Regression,0.5,0.7966666666666666,0.9777777777777777,0.525,0.7553648068669528,0.8523002421307506,0.9526388888888889,176,63,57,4,Texture
Logistic Regression,0.5,0.8666666666666667,0.9722222222222222,0.7083333333333334,0.8333333333333334,0.8974358974358975,0.9497222222222221,175,85,35,5,Thermal+Texture
Logistic Regression,0.5,0.8466666666666667,0.9666666666666667,0.6666666666666666,0.8130841121495327,0.883248730964467,0.9170370370370371,174,80,40,6,Hybrid
Logistic Regression,0.5,0.84,0.9555555555555556,0.6666666666666666,0.8113207547169812,0.8775510204081632,0.9001388888888889,172,80,40,8,Thermal
Logistic Regression,0.5,0.8366666666666667,0.9722222222222222,0.6333333333333333,0.7990867579908676,0.8771929824561403,0.8951388888888889,175,76,44,5,Texture+Graph
Logistic Regression,0.5,0.8133333333333334,0.9333333333333333,0.6333333333333333,0.7924528301886793,0.8571428571428571,0.8754166666666667,168,76,44,12,Thermal+Graph
SVM RBF,0.5,0.7066666666666667,0.9555555555555556,0.3333333333333333,0.6825396825396826,0.7962962962962963,0.8569444444444445,172,40,80,8,Texture
SVM RBF,0.5,0.72,0.9722222222222222,0.3416666666666667,0.6889763779527559,0.8064516129032258,0.8408333333333333,175,41,79,5,Thermal+Texture
Logistic Regression,0.5,0.7333333333333333,0.8888888888888888,0.5,0.7272727272727273,0.8,0.8308333333333333,160,60,60,20,Graph
SVM RBF,0.5,0.71,0.9611111111111111,0.3333333333333333,0.6837944664031621,0.7990762124711316,0.8287500000000001,173,40,80,7,Texture+Graph
SVM RBF,0.5,0.7433333333333333,0.95,0.43333333333333335,0.7154811715481172,0.8162291169451074,0.8210648148148149,171,52,68,9,Thermal
MobileNetV2,0.5,0.7233333333333334,0.7,0.7583333333333333,0.8129032258064516,0.7522388059701492,0.8188888888888889,126,91,29,54,Transfer Learning
XGBoost,0.5,0.7866666666666666,0.9166666666666666,0.5916666666666667,0.7710280373831776,0.8375634517766497,0.8157407407407408,165,71,49,15,Thermal+Texture
Simple CNN,0.5,0.4,0.0,1.0,0.0,0.0,0.8125462962962962,0,120,0,180,Image
XGBoost,0.5,0.6833333333333333,0.9166666666666666,0.3333333333333333,0.673469387755102,0.7764705882352941,0.7835648148148148,165,40,80,15,Texture
XGBoost,0.5,0.7566666666666667,0.9277777777777778,0.5,0.73568281938326,0.8206388206388207,0.7723148148148149,167,60,60,13,Hybrid
SVM RBF,0.5,0.7166666666666667,0.9722222222222222,0.3333333333333333,0.6862745098039216,0.8045977011494253,0.7624537037037037,175,40,80,5,Hybrid
XGBoost,0.5,0.6933333333333334,0.9166666666666666,0.35833333333333334,0.6818181818181818,0.7819905213270142,0.7522222222222222,165,43,77,15,Texture+Graph
XGBoost,0.5,0.73,0.9666666666666667,0.375,0.6987951807228916,0.8111888111888111,0.7431481481481481,174,45,75,6,Thermal
SVM RBF,0.5,0.7133333333333334,0.8611111111111112,0.49166666666666664,0.7175925925925926,0.7828282828282829,0.7325462962962963,155,59,61,25,Graph
Random Forest,0.5,0.77,0.9611111111111111,0.48333333333333334,0.7361702127659574,0.8337349397590361,0.7233564814814815,173,58,62,7,Thermal+Texture
Random Forest,0.5,0.7433333333333333,0.95,0.43333333333333335,0.7154811715481172,0.8162291169451074,0.7143055555555555,171,52,68,9,Thermal+Graph
Random Forest,0.5,0.8066666666666666,0.9666666666666667,0.5666666666666667,0.7699115044247787,0.8571428571428571,0.710949074074074,174,68,52,6,Thermal
XGBoost,0.5,0.69,0.8888888888888888,0.39166666666666666,0.6866952789699571,0.774818401937046,0.7091203703703705,160,47,73,20,Thermal+Graph
XGBoost,0.5,0.6666666666666666,0.8611111111111112,0.375,0.6739130434782609,0.7560975609756098,0.7049537037037038,155,45,75,25,Graph
Random Forest,0.5,0.7166666666666667,0.9444444444444444,0.375,0.6938775510204082,0.8,0.7007638888888889,170,45,75,10,Hybrid
SVM RBF,0.5,0.7166666666666667,0.9055555555555556,0.43333333333333335,0.7056277056277056,0.7931873479318735,0.6924537037037036,163,52,68,17,Thermal+Graph
Random Forest,0.5,0.68,0.8611111111111112,0.4083333333333333,0.6858407079646017,0.7635467980295566,0.6646064814814814,155,49,71,25,Graph
Random Forest,0.5,0.6733333333333333,0.9,0.3333333333333333,0.6694214876033058,0.7677725118483413,0.6260648148148148,162,40,80,18,Texture+Graph
Random Forest,0.5,0.71,0.9611111111111111,0.3333333333333333,0.6837944664031621,0.7990762124711316,0.6189351851851852,173,40,80,7,Texture
