model,threshold,accuracy,sensitivity,specificity,precision,f1_score,auc,TP,TN,FP,FN
Logistic Regression_Texture,0.05,0.6666666666666666,1.0,0.16666666666666666,0.6428571428571429,0.782608695652174,0.9526388888888889,180,20,100,0
Logistic Regression_Texture,0.1,0.6866666666666666,1.0,0.21666666666666667,0.656934306569343,0.7929515418502202,0.9526388888888889,180,26,94,0
Logistic Regression_Texture,0.15,0.73,1.0,0.325,0.6896551724137931,0.8163265306122449,0.9526388888888889,180,39,81,0
Logistic Regression_Texture,0.2,0.7266666666666667,0.9888888888888889,0.3333333333333333,0.689922480620155,0.8127853881278538,0.9526388888888889,178,40,80,2
Logistic Regression_Texture,0.25,0.7266666666666667,0.9888888888888889,0.3333333333333333,0.689922480620155,0.8127853881278538,0.9526388888888889,178,40,80,2
Logistic Regression_Texture,0.3,0.7266666666666667,0.9888888888888889,0.3333333333333333,0.689922480620155,0.8127853881278538,0.9526388888888889,178,40,80,2
Logistic Regression_Texture,0.35,0.7266666666666667,0.9888888888888889,0.3333333333333333,0.689922480620155,0.8127853881278538,0.9526388888888889,178,40,80,2
Logistic Regression_Texture,0.39999999999999997,0.7266666666666667,0.9833333333333333,0.3416666666666667,0.69140625,0.8119266055045872,0.9526388888888889,177,41,79,3
Logistic Regression_Texture,0.44999999999999996,0.7466666666666667,0.9777777777777777,0.4,0.7096774193548387,0.822429906542056,0.9526388888888889,176,48,72,4
Logistic Regression_Texture,0.49999999999999994,0.7966666666666666,0.9777777777777777,0.525,0.7553648068669528,0.8523002421307506,0.9526388888888889,176,63,57,4
Logistic Regression_Texture,0.5499999999999999,0.85,0.9666666666666667,0.675,0.8169014084507042,0.8854961832061069,0.9526388888888889,174,81,39,6
Logistic Regression_Texture,0.6,0.8666666666666667,0.95,0.7416666666666667,0.8465346534653465,0.8952879581151832,0.9526388888888889,171,89,31,9
Logistic Regression_Texture,0.65,0.8833333333333333,0.9388888888888889,0.8,0.8756476683937824,0.9061662198391421,0.9526388888888889,169,96,24,11
Logistic Regression_Texture,0.7,0.8766666666666667,0.9222222222222223,0.8083333333333333,0.8783068783068783,0.8997289972899729,0.9526388888888889,166,97,23,14
Logistic Regression_Texture,0.75,0.8766666666666667,0.9055555555555556,0.8333333333333334,0.8907103825136612,0.8980716253443526,0.9526388888888889,163,100,20,17
Logistic Regression_Texture,0.7999999999999999,0.86,0.8666666666666667,0.85,0.896551724137931,0.8813559322033898,0.9526388888888889,156,102,18,24
Logistic Regression_Texture,0.85,0.8666666666666667,0.8277777777777777,0.925,0.9430379746835443,0.8816568047337278,0.9526388888888889,149,111,9,31
Logistic Regression_Texture,0.9,0.8466666666666667,0.7611111111111111,0.975,0.9785714285714285,0.85625,0.9526388888888889,137,117,3,43
Logistic Regression_Texture,0.95,0.8033333333333333,0.6722222222222223,1.0,1.0,0.8039867109634552,0.9526388888888889,121,120,0,59
